,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
2,28_Hyogo-ken,28202,2000,28_Hyogo-ken,28202,2494_Amagasaki-shi,"459,593","222,293","237,300","452,563","7,030",1.55337,93.67594,50.72,"9,061.4","221,404","221,148",256,"210,433","10,971",5.21354,"459,593","452,058","7,535"
2,28_Hyogo-ken,28203,2000,28_Hyogo-ken,28203,2495_Akashi-shi,"303,601","146,746","156,855","293,409","10,192",3.47365,93.55519,49.42,"6,143.3","133,647","133,488",159,"121,890","11,757",9.64558,"303,601","298,049","5,552"
2,28_Hyogo-ken,28204,2000,28_Hyogo-ken,28204,2496_Nishinomiya-shi,"485,587","226,105","259,482","487,850","-2,263",-0.46387,87.13707,99.96,"4,857.8","215,651","215,454",197,"210,965","4,686",2.22122,"485,587","478,248","7,339"
2,28_Hyogo-ken,28205,,28_Hyogo-ken,28205,2497_Sumoto-shi,"41,236","19,635","21,601","44,258","-3,022",-6.82814,90.89857,182.38,226.1,"17,792","17,736",56,"18,081",-289,-1.59836,"41,236","40,003","1,233"
9,28_Hyogo-ken,28205,2000,28_Hyogo-ken,28205,2498_(Municipalities as of 2000) Sumoto-shi,"32,634","15,520","17,114","34,684","-2,050",-5.91051,90.68599,124.24,262.7,"14,470","14,425",45,"14,610",-140,-0.95825,"32,634","31,721",913
9,28_Hyogo-ken,28685,2000,28_Hyogo-ken,28205,2499_(Municipalities as of 2000) Goshiki-cho,"8,602","4,115","4,487","9,574",-972,-10.15250,91.70938,58.21,147.8,"3,322","3,311",11,"3,471",-149,-4.29271,"8,602","8,282",320
2,28_Hyogo-ken,28206,2000,28_Hyogo-ken,28206,2500_Ashiya-shi,"93,922","42,008","51,914","95,350","-1,428",-1.49764,80.91844,18.47,"5,085.1","42,522","42,475",47,"41,881",641,1.53053,"93,922","92,648","1,274"
2,28_Hyogo-ken,28207,2000,28_Hyogo-ken,28207,2501_Itami-shi,"198,138","95,630","102,508","196,883","1,255",0.63743,93.29028,25.00,"7,925.5","82,481","82,384",97,"78,903","3,578",4.53468,"198,138","193,986","4,152"
2,28_Hyogo-ken,28208,2000,28_Hyogo-ken,28208,2502_Aioi-shi,"28,355","13,592","14,763","30,129","-1,774",-5.88801,92.06801,90.40,313.7,"11,806","11,779",27,"12,153",-347,-2.85526,"28,355","27,302","1,053"
2,28_Hyogo-ken,28209,,28_Hyogo-ken,28209,2503_Toyooka-shi,"77,489","37,303","40,186","82,250","-4,761",-5.78845,92.82586,697.55,111.1,"30,180","30,115",65,"30,189",-9,-0.02981,"77,489","75,539","1,950"
9,28_Hyogo-ken,28209,2000,28_Hyogo-ken,28209,2504_(Municipalities as of 2000) Toyooka-shi,"41,827","20,310","21,517","43,375","-1,548",-3.56888,94.39048,162.35,257.6,"16,900","16,871",29,"16,548",352,2.12715,"41,827","41,054",773
9,28_Hyogo-ken,28541,2000,28_Hyogo-ken,28209,2505_(Municipalities as of 2000) Kinosaki-cho,"3,125","1,432","1,693","3,519",-394,-11.19636,84.58358,31.19,100.2,"1,379","1,377",2,"1,410",-31,-2.19858,"3,125","2,997",128
9,28_Hyogo-ken,28542,2000,28_Hyogo-ken,28209,2506_(Municipalities as of 2000) Takeno-cho,"4,115","1,955","2,160","4,496",-381,-8.47420,90.50926,102.79,40.0,"1,486","1,483",3,"1,530",-44,-2.87582,"4,115","3,966",149
9,28_Hyogo-ken,28544,2000,28_Hyogo-ken,28209,2507_(Municipalities as of 2000) Hidaka-cho,"15,517","7,420","8,097","16,609","-1,092",-6.57475,91.63888,150.24,103.3,"5,671","5,663",8,"5,774",-103,-1.78386,"15,517","15,220",297
9,28_Hyogo-ken,28561,2000,28_Hyogo-ken,28209,2508_(Municipalities as of 2000) Izushi-cho,"9,160","4,398","4,762","9,996",-836,-8.36335,92.35615,89.13,102.8,"3,312","3,293",19,"3,388",-76,-2.24321,"9,160","8,689",471
9,28_Hyogo-ken,28562,2000,28_Hyogo-ken,28209,2509_(Municipalities as of 2000) Tanto-cho,"3,745","1,788","1,957","4,255",-510,-11.98590,91.36433,161.96,23.1,"1,432","1,428",4,"1,539",-107,-6.95257,"3,745","3,613",132
2,28_Hyogo-ken,28210,2000,28_Hyogo-ken,28210,2510_Kakogawa-shi,"260,878","127,473","133,405","267,435","-6,557",-2.45181,95.55339,138.48,"1,883.9","107,195","107,075",120,"103,495","3,700",3.57505,"260,878","255,587","5,291"
2,28_Hyogo-ken,28212,2000,28_Hyogo-ken,28212,2511_Ako-shi,"45,892","22,095","23,797","48,567","-2,675",-5.50786,92.84784,126.85,361.8,"18,911","18,876",35,"18,729",182,0.97176,"45,892","44,674","1,218"
2,28_Hyogo-ken,28213,,28_Hyogo-ken,28213,2512_Nishiwaki-shi,"38,673","18,540","20,133","40,866","-2,193",-5.36632,92.08762,132.44,292.0,"15,167","15,146",21,"15,049",118,0.78411,"38,673","37,887",786
9,28_Hyogo-ken,28213,2000,28_Hyogo-ken,28213,2513_(Municipalities as of 2000) Nishiwaki-shi,"32,373","15,520","16,853","33,957","-1,584",-4.66472,92.09043,97.13,333.3,"12,954","12,940",14,"12,746",208,1.63188,"32,373","31,764",609
9,28_Hyogo-ken,28364,2000,28_Hyogo-ken,28213,2514_(Municipalities as of 2000) Kurodasho-cho,"6,300","3,020","3,280","6,909",-609,-8.81459,92.07317,35.34,178.3,"2,213","2,206",7,"2,303",-90,-3.90795,"6,300","6,123",177
2,28_Hyogo-ken,28214,2000,28_Hyogo-ken,28214,2515_Takarazuka-shi,"226,432","103,655","122,777","224,903","1,529",0.67985,84.42542,101.80,"2,224.3","95,465","95,366",99,"94,140","1,325",1.40748,"226,432","222,619","3,813"
2,28_Hyogo-ken,28215,,28_Hyogo-ken,28215,2516_Miki-shi,"75,294","36,259","39,035","77,178","-1,884",-2.44111,92.88843,176.51,426.6,"30,370","30,318",52,"28,653","1,717",5.99239,"75,294","73,363","1,931"
9,28_Hyogo-ken,28215,2000,28_Hyogo-ken,28215,2517_(Municipalities as of 2000) Miki-shi,"68,422","32,994","35,428","69,583","-1,161",-1.66851,93.12973,120.13,569.6,"27,977","27,931",46,"26,261","1,716",6.53440,"68,422","66,808","1,614"
9,28_Hyogo-ken,28321,2000,28_Hyogo-ken,28215,2518_(Municipalities as of 2000) Yokawa-cho,"6,872","3,265","3,607","7,595",-723,-9.51942,90.51844,56.45,121.7,"2,393","2,387",6,"2,392",1,0.04181,"6,872","6,555",317
2,28_Hyogo-ken,28216,2000,28_Hyogo-ken,28216,2519_Takasago-shi,"87,722","42,379","45,343","91,030","-3,308",-3.63397,93.46316,34.38,"2,551.5","36,712","36,676",36,"36,340",372,1.02367,"87,722","86,727",995
2,28_Hyogo-ken,28217,2000,28_Hyogo-ken,28217,2520_Kawanishi-shi,"152,321","71,289","81,032","156,375","-4,054",-2.59249,87.97636,53.44,"2,850.3","63,331","63,272",59,"62,675",656,1.04667,"152,321","149,613","2,708"
2,28_Hyogo-ken,28218,2000,28_Hyogo-ken,28218,2521_Ono-shi,"47,562","23,232","24,330","48,580","-1,018",-2.09551,95.48705,92.94,511.7,"17,810","17,784",26,"16,860",950,5.63464,"47,562","46,459","1,103"
2,28_Hyogo-ken,28219,2000,28_Hyogo-ken,28219,2522_Sanda-shi,"109,238","52,322","56,916","112,691","-3,453",-3.06413,91.92846,210.32,519.4,"42,401","42,368",33,"41,070","1,331",3.24081,"109,238","105,819","3,419"
2,28_Hyogo-ken,28220,2000,28_Hyogo-ken,28220,2523_Kasai-shi,"42,700","21,077","21,623","44,313","-1,613",-3.64002,97.47491,150.98,282.8,"16,245","16,222",23,"15,364",881,5.73418,"42,700","41,576","1,124"
2,28_Hyogo-ken,28221,,28_Hyogo-ken,28221,2524_Tambasasayama-shi,"39,611","18,811","20,800","41,490","-1,879",-4.52880,90.43750,377.59,104.9,"15,605","15,567",38,"15,578",27,0.17332,"39,611","38,598","1,013"
9,28_Hyogo-ken,28221,2000,28_Hyogo-ken,28221,2525_(Municipalities as of 2000) Sasayama-shi,"39,611","18,811","20,800","41,490","-1,879",-4.52880,90.43750,377.61,104.9,"15,605","15,567",38,"15,578",27,0.17332,"39,611","38,598","1,013"
2,28_Hyogo-ken,28222,,28_Hyogo-ken,28222,2526_Yabu-shi,"22,129","10,623","11,506","24,288","-2,159",-8.88916,92.32574,422.91,52.3,"8,388","8,369",19,"8,713",-325,-3.73006,"22,129","21,396",733
9,28_Hyogo-ken,28601,2000,28_Hyogo-ken,28222,2527_(Municipalities as of 2000) Yoka-cho,"9,388","4,467","4,921","10,111",-723,-7.15063,90.77423,77.06,121.8,"3,526","3,519",7,"3,600",-74,-2.05556,"9,388","9,000",388
9,28_Hyogo-ken,28602,2000,28_Hyogo-ken,28222,2528_(Municipalities as of 2000) Yabu-cho,"6,565","3,200","3,365","7,144",-579,-8.10470,95.09658,111.84,58.7,"2,458","2,452",6,"2,546",-88,-3.45640,"6,565","6,427",138
9,28_Hyogo-ken,28603,2000,28_Hyogo-ken,28222,2529_(Municipalities as of 2000) Oya-cho,"3,104","1,472","1,632","3,533",-429,-12.14265,90.19608,138.29,22.4,"1,222","1,219",3,"1,299",-77,-5.92764,"3,104","2,991",113
9,28_Hyogo-ken,28604,2000,28_Hyogo-ken,28222,2530_(Municipalities as of 2000) Sekinomiya-cho,"3,072","1,484","1,588","3,500",-428,-12.22857,93.45088,95.59,32.1,"1,182","1,179",3,"1,268",-86,-6.78233,"3,072","2,978",94
2,28_Hyogo-ken,28223,,28_Hyogo-ken,28223,2531_Tamba-shi,"61,471","29,464","32,007","64,660","-3,189",-4.93195,92.05486,493.21,124.6,"23,033","22,959",74,"22,553",480,2.12832,"61,471","59,662","1,809"
9,28_Hyogo-ken,28641,2000,28_Hyogo-ken,28223,2532_(Municipalities as of 2000) Kaibara-cho,"9,731","4,676","5,055","9,870",-139,-1.40831,92.50247,32.33,301.0,"4,052","4,037",15,"3,886",166,4.27174,"9,731","9,535",196
9,28_Hyogo-ken,28642,2000,28_Hyogo-ken,28223,2533_(Municipalities as of 2000) Hikami-cho,"17,246","8,366","8,880","17,800",-554,-3.11236,94.21171,110.14,156.6,"6,255","6,233",22,"5,948",307,5.16140,"17,246","16,487",759
9,28_Hyogo-ken,28643,2000,28_Hyogo-ken,28223,2534_(Municipalities as of 2000) Aogaki-cho,"5,446","2,595","2,851","6,007",-561,-9.33910,91.02069,99.86,54.5,"2,053","2,050",3,"2,091",-38,-1.81731,"5,446","5,320",126
9,28_Hyogo-ken,28644,2000,28_Hyogo-ken,28223,2535_(Municipalities as of 2000) Kasuga-cho,"10,448","5,003","5,445","10,903",-455,-4.17316,91.88246,75.64,138.1,"3,811","3,793",18,"3,775",36,0.95364,"10,448","10,103",345
9,28_Hyogo-ken,28645,2000,28_Hyogo-ken,28223,2536_(Municipalities as of 2000) Sannan-cho,"10,429","4,947","5,482","11,343",-914,-8.05783,90.24079,98.16,106.2,"3,819","3,807",12,"3,780",39,1.03175,"10,429","10,170",259
9,28_Hyogo-ken,28646,2000,28_Hyogo-ken,28223,2537_(Municipalities as of 2000) Ichijima-cho,"8,171","3,877","4,294","8,737",-566,-6.47820,90.28878,77.15,105.9,"3,043","3,039",4,"3,073",-30,-0.97624,"8,171","8,047",124
2,28_Hyogo-ken,28224,,28_Hyogo-ken,28224,2538_Minamiawaji-shi,"44,137","21,114","23,023","46,912","-2,775",-5.91533,91.70829,229.01,192.7,"17,047","17,011",36,"16,968",79,0.46558,"44,137","42,743","1,394"
9,28_Hyogo-ken,28701,2000,28_Hyogo-ken,28224,2539_(Municipalities as of 2000) Midori-cho,"5,495","2,576","2,919","5,931",-436,-7.35121,88.24940,27.89,197.0,"2,019","2,012",7,"2,116",-97,-4.58412,"5,495","5,290",205
9,28_Hyogo-ken,28702,2000,28_Hyogo-ken,28224,2540_(Municipalities as of 2000) Seidan-cho,"9,088","4,330","4,758","9,854",-766,-7.77349,91.00462,55.98,162.3,"3,584","3,581",3,"3,592",-8,-0.22272,"9,088","8,963",125
9,28_Hyogo-ken,28703,2000,28_Hyogo-ken,28224,2541_(Municipalities as of 2000) Mihara-cho,"14,702","7,081","7,621","15,155",-453,-2.98911,92.91432,58.35,252.0,"5,453","5,437",16,"5,142",311,6.04823,"14,702","14,090",612
9,28_Hyogo-ken,28704,2000,28_Hyogo-ken,28224,2542_(Municipalities as of 2000) Nandan-cho,"14,852","7,127","7,725","15,972","-1,120",-7.01227,92.25890,86.92,170.9,"5,991","5,981",10,"6,118",-127,-2.07584,"14,852","14,400",452
2,28_Hyogo-ken,28225,,28_Hyogo-ken,28225,2543_Asago-shi,"28,989","13,893","15,096","30,805","-1,816",-5.89515,92.03100,403.06,71.9,"11,399","11,362",37,"11,500",-101,-0.87826,"28,989","28,051",938
9,28_Hyogo-ken,28621,2000,28_Hyogo-ken,28225,2544_(Municipalities as of 2000) Ikuno-cho,"3,450","1,670","1,780","3,759",-309,-8.22027,93.82022,112.01,30.8,"1,410","1,403",7,"1,463",-53,-3.62269,"3,450","3,270",180
9,28_Hyogo-ken,28622,2000,28_Hyogo-ken,28225,2545_(Municipalities as of 2000) Wadayama-cho,"14,873","7,158","7,715","15,490",-617,-3.98321,92.78030,111.61,133.3,"5,907","5,891",16,"5,901",6,0.10168,"14,873","14,592",281
9,28_Hyogo-ken,28623,2000,28_Hyogo-ken,28225,2546_(Municipalities as of 2000) Santo-cho,"5,221","2,476","2,745","5,549",-328,-5.91097,90.20036,49.16,106.2,"2,028","2,023",5,"2,025",3,0.14815,"5,221","5,096",125
9,28_Hyogo-ken,28624,2000,28_Hyogo-ken,28225,2547_(Municipalities as of 2000) Asago-cho,"5,445","2,589","2,856","6,007",-562,-9.35575,90.65126,130.20,41.8,"2,054","2,045",9,"2,111",-57,-2.70014,"5,445","5,093",352
2,28_Hyogo-ken,28226,,28_Hyogo-ken,28226,2548_Awaji-shi,"41,967","19,872","22,095","43,977","-2,010",-4.57057,89.93890,184.32,227.7,"17,494","17,459",35,"17,451",43,0.24640,"41,967","40,501","1,466"
9,28_Hyogo-ken,28681,2000,28_Hyogo-ken,28226,2549_(Municipalities as of 2000) Tsuna-cho,"14,280","6,764","7,516","14,989",-709,-4.73014,89.99468,55.21,258.6,"5,992","5,982",10,"6,036",-44,-0.72896,"14,280","13,931",349
9,28_Hyogo-ken,28682,2000,28_Hyogo-ken,28226,2550_(Municipalities as of 2000) Awaji-cho,"5,035","2,377","2,658","5,289",-254,-4.80242,89.42814,13.20,381.4,"2,322","2,317",5,"2,301",21,0.91265,"5,035","4,918",117
9,28_Hyogo-ken,28683,2000,28_Hyogo-ken,28226,2551_(Municipalities as of 2000) Hokudan-cho,"7,163","3,374","3,789","7,854",-691,-8.79806,89.04724,51.07,140.3,"2,821","2,816",5,"2,927",-106,-3.62146,"7,163","6,768",395
9,28_Hyogo-ken,28684,2000,28_Hyogo-ken,28226,2552_(Municipalities as of 2000) Ichinomiya-cho,"6,889","3,312","3,577","7,379",-490,-6.64047,92.59156,40.15,171.6,"2,755","2,747",8,"2,811",-56,-1.99217,"6,889","6,750",139
9,28_Hyogo-ken,28686,2000,28_Hyogo-ken,28226,2553_(Municipalities as of 2000) Higashiura-cho,"8,600","4,045","4,555","8,466",134,1.58280,88.80351,24.42,352.2,"3,604","3,597",7,"3,376",228,6.75355,"8,600","8,134",466
2,28_Hyogo-ken,28227,,28_Hyogo-ken,28227,2554_Shiso-shi,"34,819","16,635","18,184","37,773","-2,954",-7.82040,91.48152,658.54,52.9,"12,882","12,856",26,"12,723",159,1.24971,"34,819","34,066",753
9,28_Hyogo-ken,28521,2000,28_Hyogo-ken,28227,2555_(Municipalities as of 2000) Yamasaki-cho,"21,877","10,447","11,430","23,108","-1,231",-5.32716,91.39983,178.89,122.3,"8,272","8,258",14,"7,954",318,3.99799,"21,877","21,540",337
9,28_Hyogo-ken,28523,2000,28_Hyogo-ken,28227,2556_(Municipalities as of 2000) Ichinomiya-cho,"7,213","3,504","3,709","8,101",-888,-10.96161,94.47290,213.84,33.7,"2,508","2,501",7,"2,541",-33,-1.29870,"7,213","7,053",160
9,28_Hyogo-ken,28524,2000,28_Hyogo-ken,28227,2557_(Municipalities as of 2000) Haga-cho,"3,237","1,520","1,717","3,704",-467,-12.60799,88.52650,161.30,20.1,"1,151","1,147",4,"1,237",-86,-6.95230,"3,237","3,036",201
9,28_Hyogo-ken,28525,2000,28_Hyogo-ken,28227,2558_(Municipalities as of 2000) Chikusa-cho,"2,492","1,164","1,328","2,860",-368,-12.86713,87.65060,104.57,23.8,951,950,1,991,-40,-4.03633,"2,492","2,437",55
2,28_Hyogo-ken,28228,,28_Hyogo-ken,28228,2559_Kato-shi,"40,645","19,956","20,689","40,310",335,0.83106,96.45705,157.55,258.0,"17,070","17,032",38,"15,086","1,984",13.15127,"40,645","39,577","1,068"
9,28_Hyogo-ken,28341,2000,28_Hyogo-ken,28228,2560_(Municipalities as of 2000) Yashiro-cho,"20,517","10,002","10,515","20,471",46,0.22471,95.12126,87.40,234.7,"8,998","8,986",12,"7,835","1,163",14.84365,"20,517","20,286",231
9,28_Hyogo-ken,28342,2000,28_Hyogo-ken,28228,2561_(Municipalities as of 2000) Takino-cho,"12,601","6,236","6,365","12,468",133,1.06673,97.97329,19.77,637.4,"5,035","5,015",20,"4,566",469,10.27157,"12,601","11,856",745
9,28_Hyogo-ken,28343,2000,28_Hyogo-ken,28228,2562_(Municipalities as of 2000) Tojo-cho,"7,527","3,718","3,809","7,371",156,2.11640,97.61092,50.32,149.6,"3,037","3,031",6,"2,685",352,13.10987,"7,527","7,435",92
2,28_Hyogo-ken,28229,,28_Hyogo-ken,28229,2563_Tatsuno-shi,"74,316","35,918","38,398","77,419","-3,103",-4.00806,93.54133,210.87,352.4,"27,757","27,655",102,"27,297",460,1.68517,"74,316","72,030","2,286"
9,28_Hyogo-ken,28211,2000,28_Hyogo-ken,28229,2564_(Municipalities as of 2000) Tatsuno-shi,"39,048","18,972","20,076","39,661",-613,-1.54560,94.50090,69.75,559.8,"14,810","14,783",27,"14,287",523,3.66067,"39,048","38,379",669
9,28_Hyogo-ken,28461,2000,28_Hyogo-ken,28229,2565_(Municipalities as of 2000) Shingu-cho,"13,554","6,565","6,989","14,720","-1,166",-7.92120,93.93332,99.55,136.2,"4,802","4,750",52,"4,843",-41,-0.84658,"13,554","12,636",918
9,28_Hyogo-ken,28462,2000,28_Hyogo-ken,28229,2566_(Municipalities as of 2000) Ibogawa-cho,"11,774","5,644","6,130","12,379",-605,-4.88731,92.07178,23.66,497.6,"4,396","4,379",17,"4,409",-13,-0.29485,"11,774","11,185",589
9,28_Hyogo-ken,28463,2000,28_Hyogo-ken,28229,2567_(Municipalities as of 2000) Mitsu-cho,"9,940","4,737","5,203","10,659",-719,-6.74547,91.04363,17.97,553.1,"3,749","3,743",6,"3,758",-9,-0.23949,"9,940","9,830",110
3,28_Hyogo-ken,28301,2000,28_Hyogo-ken,28301,2568_Inagawa-cho,"29,680","13,975","15,705","30,838","-1,158",-3.75511,88.98440,90.33,328.6,"10,995","10,977",18,"10,780",215,1.99443,"29,680","28,941",739
3,28_Hyogo-ken,28365,,28_Hyogo-ken,28365,2569_Taka-cho,"19,261","9,311","9,950","21,200","-1,939",-9.14623,93.57789,185.19,104.0,"6,562","6,544",18,"6,665",-103,-1.54539,"19,261","18,473",788
9,28_Hyogo-ken,28361,2000,28_Hyogo-ken,28365,2570_(Municipalities as of 2000) Naka-cho,"9,059","4,381","4,678","9,910",-851,-8.58729,93.65113,48.02,188.7,"3,072","3,057",15,"3,180",-108,-3.39623,"9,059","8,531",528
9,28_Hyogo-ken,28362,2000,28_Hyogo-ken,28365,2571_(Municipalities as of 2000) Kami-cho,"5,530","2,688","2,842","6,056",-526,-8.68560,94.58128,84.06,65.8,"1,864","1,862",2,"1,867",-3,-0.16069,"5,530","5,429",101
9,28_Hyogo-ken,28363,2000,28_Hyogo-ken,28365,2572_(Municipalities as of 2000) Yachiyo-cho,"4,672","2,242","2,430","5,234",-562,-10.73749,92.26337,53.07,88.0,"1,626","1,625",1,"1,618",8,0.49444,"4,672","4,513",159
3,28_Hyogo-ken,28381,2000,28_Hyogo-ken,28381,2573_Inami-cho,"30,268","14,775","15,493","31,020",-752,-2.42424,95.36565,34.92,866.8,"11,384","11,370",14,"11,026",358,3.24687,"30,268","29,669",599
3,28_Hyogo-ken,28382,2000,28_Hyogo-ken,28382,2574_Harima-cho,"33,604","16,332","17,272","33,739",-135,-0.40013,94.55767,9.13,"3,680.6","13,792","13,781",11,"13,258",534,4.02776,"33,604","33,403",201
3,28_Hyogo-ken,28442,2000,28_Hyogo-ken,28442,2575_Ichikawa-cho,"11,231","5,482","5,749","12,300","-1,069",-8.69106,95.35571,82.67,135.9,"4,324","4,320",4,"4,334",-10,-0.23073,"11,231","11,129",102
3,28_Hyogo-ken,28443,2000,28_Hyogo-ken,28443,2576_Fukusaki-cho,"19,377","9,461","9,916","19,738",-361,-1.82896,95.41146,45.79,423.2,"7,795","7,784",11,"6,906",889,12.87286,"19,377","18,863",514
3,28_Hyogo-ken,28446,,28_Hyogo-ken,28446,2577_Kamikawa-cho,"10,616","4,958","5,658","11,452",-836,-7.30003,87.62814,202.23,52.5,"3,779","3,768",11,"3,798",-19,-0.50026,"10,616","10,337",279
9,28_Hyogo-ken,28441,2000,28_Hyogo-ken,28446,2578_(Municipalities as of 2000) Kanzaki-cho,"6,615","3,082","3,533","7,063",-448,-6.34291,87.23464,105.10,62.9,"2,306","2,300",6,"2,295",11,0.47930,"6,615","6,434",181
9,28_Hyogo-ken,28445,2000,28_Hyogo-ken,28446,2579_(Municipalities as of 2000) Okawachi-cho,"4,001","1,876","2,125","4,389",-388,-8.84028,88.28235,97.17,41.2,"1,473","1,468",5,"1,503",-30,-1.99601,"4,001","3,903",98
3,28_Hyogo-ken,28464,2000,28_Hyogo-ken,28464,2580_Taishi-cho,"33,477","16,253","17,224","33,690",-213,-0.63224,94.36252,22.61,"1,480.6","12,757","12,745",12,"12,092",665,5.49950,"33,477","32,985",492
3,28_Hyogo-ken,28481,2000,28_Hyogo-ken,28481,2581_Kamigori-cho,"13,879","6,717","7,162","15,224","-1,345",-8.83473,93.78665,150.26,92.4,"5,537","5,524",13,"5,715",-178,-3.11461,"13,879","13,524",355
3,28_Hyogo-ken,28501,,28_Hyogo-ken,28501,2582_Sayo-cho,"15,863","7,567","8,296","17,510","-1,647",-9.40605,91.21263,307.44,51.6,"5,927","5,902",25,"6,108",-181,-2.96333,"15,863","14,873",990
9,28_Hyogo-ken,28501,2000,28_Hyogo-ken,28501,2583_(Municipalities as of 2000) Sayo-cho,"6,435","3,093","3,342","7,068",-633,-8.95586,92.54937,115.78,55.6,"2,470","2,458",12,"2,527",-57,-2.25564,"6,435","6,065",370
9,28_Hyogo-ken,28502,2000,28_Hyogo-ken,28501,2584_(Municipalities as of 2000) Kozuki-cho,"3,634","1,760","1,874","4,099",-465,-11.34423,93.91676,91.68,39.6,"1,404","1,403",1,"1,478",-74,-5.00677,"3,634","3,561",73
9,28_Hyogo-ken,28503,2000,28_Hyogo-ken,28501,2585_(Municipalities as of 2000) Nanko-cho,"3,344","1,581","1,763","3,628",-284,-7.82800,89.67669,49.86,67.1,"1,141","1,134",7,"1,146",-5,-0.43630,"3,344","2,962",382
9,28_Hyogo-ken,28504,2000,28_Hyogo-ken,28501,2586_(Municipalities as of 2000) Mikazuki-cho,"2,450","1,133","1,317","2,715",-265,-9.76059,86.02885,50.19,48.8,912,907,5,957,-45,-4.70219,"2,450","2,285",165
3,28_Hyogo-ken,28585,,28_Hyogo-ken,28585,2587_Kami-cho,"16,064","7,636","8,428","18,070","-2,006",-11.10127,90.60275,368.77,43.6,"5,912","5,888",24,"6,228",-316,-5.07386,"16,064","15,641",423
9,28_Hyogo-ken,28543,2000,28_Hyogo-ken,28585,2588_(Municipalities as of 2000) Kasumi-cho,"10,088","4,816","5,272","11,217","-1,129",-10.06508,91.35053,137.20,73.5,"3,608","3,596",12,"3,759",-151,-4.01703,"10,088","9,865",223
9,28_Hyogo-ken,28581,2000,28_Hyogo-ken,28585,2589_(Municipalities as of 2000) Muraoka-cho,"4,266","2,030","2,236","4,888",-622,-12.72504,90.78712,165.66,25.8,"1,655","1,645",10,"1,757",-102,-5.80535,"4,266","4,157",109
9,28_Hyogo-ken,28583,2000,28_Hyogo-ken,28585,2590_(Municipalities as of 2000) Mikata-cho,"1,710",790,920,"1,965",-255,-12.97710,85.86957,66.16,25.8,649,647,2,712,-63,-8.84831,"1,710","1,619",91
3,28_Hyogo-ken,28586,,28_Hyogo-ken,28586,2591_Shinonsen-cho,"13,318","6,302","7,016","14,819","-1,501",-10.12889,89.82326,241.01,55.3,"4,929","4,919",10,"5,291",-362,-6.84181,"13,318","12,989",329
9,28_Hyogo-ken,28582,2000,28_Hyogo-ken,28586,2592_(Municipalities as of 2000) Hamasaka-cho,"8,342","3,950","4,392","9,222",-880,-9.54240,89.93625,102.98,81.0,"3,137","3,132",5,"3,376",-239,-7.07938,"8,342","8,168",174
9,28_Hyogo-ken,28584,2000,28_Hyogo-ken,28586,2593_(Municipalities as of 2000) Onsen-cho,"4,976","2,352","2,624","5,597",-621,-11.09523,89.63415,138.02,36.1,"1,792","1,787",5,"1,915",-123,-6.42298,"4,976","4,821",155
a,29_Nara-ken,29000,2000,29_Nara-ken,29000,2594_Nara-ken,"1,324,473","623,926","700,547","1,364,316","-39,843",-2.92036,89.06269,"3,690.94",358.8,"544,981","543,908","1,073","530,221","14,760",2.78374,"1,324,473","1,292,985","31,488"
2,29_Nara-ken,29201,,29_Nara-ken,29201,2595_Nara-shi,"354,630","164,846","189,784","360,310","-5,680",-1.57642,86.85980,276.94,"1,280.5","155,305","155,069",236,"148,920","6,385",4.28754,"354,630","346,103","8,527"
9,29_Nara-ken,29201,2000,29_Nara-ken,29201,2596_(Municipalities as of 2000) Nara-shi,"348,250","161,776","186,474","353,208","-4,958",-1.40371,86.75526,211.60,"1,645.8","152,986","152,755",231,"146,608","6,378",4.35038,"348,250","339,931","8,319"
9,29_Nara-ken,29301,2000,29_Nara-ken,29201,2597_(Municipalities as of 2000) Tsukigase-mura,"1,286",599,687,"1,455",-169,-11.61512,87.19068,21.35,60.2,430,429,1,443,-13,-2.93454,"1,286","1,240",46
9,29_Nara-ken,29321,2000,29_Nara-ken,29201,2598_(Municipalities as of 2000) Tsuge-mura,"5,094","2,471","2,623","5,647",-553,-9.79281,94.20511,43.98,115.8,"1,889","1,885",4,"1,869",20,1.07009,"5,094","4,932",162
2,29_Nara-ken,29202,2000,29_Nara-ken,29202,2599_Yamatotakada-shi,"61,744","28,981","32,763","64,817","-3,073",-4.74104,88.45649,16.48,"3,746.6","26,095","26,064",31,"25,619",476,1.85800,"61,744","60,673","1,071"
